NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
146,인성교양,,,0APR1139,QC,1,대학생활설계와비전2,1,김기송,화6(보건과학관(아산) 217),주간,대면수업,
147,인성교양,,,0APR1139,QD,1,대학생활설계와비전2,1,황영인,화6(보건과학관(아산) 214),주간,대면수업,
148,인성교양,,,0APR1139,QE,1,대학생활설계와비전2,1,황선홍,화6(보건과학관(아산) 205),주간,대면수업,
149,인성교양,,,0APR1139,QF,1,대학생활설계와비전2,1,전인철,화6(보건과학관(아산) 101),주간,대면수업,
150,인성교양,,,0APR1139,QK,1,대학생활설계와비전2,1,조경연,월2(자연과학관(아산) 207),주간,대면수업,
151,인성교양,,,0APR1139,QL,1,대학생활설계와비전2,1,강명화,수7(자연과학관(아산) 305),주간,대면수업,
152,인성교양,,,0APR1139,QM,1,대학생활설계와비전2,1,문혜경,수1(보건과학관(아산) 401-1),주간,대면수업,
153,인성교양,,,0APR1139,QQ,1,대학생활설계와비전2,1,김의영,화2(1호관(천안) B01-1),주간(천안),대면수업,
154,인성교양,,,0APR1139,RB,1,대학생활설계와비전2,1,주종미,목2(체육관(아산) 312),주간,대면수업,
155,인성교양,,,0APR1139,RD,1,대학생활설계와비전2,1,박성식,수0(음악관(천안) 525),주간(천안),대면수업,
156,인성교양,,,0APR1139,RM,1,대학생활설계와비전2,1,정현자,수3(자연과학관(아산) 407),주간,대면수업,
157,인성교양,,,0APR1139,RN,1,대학생활설계와비전2,1,김종근,목1(보건과학관(아산) 401-1),주간,대면수업,
158,인성교양,,,0APR1139,S1,1,대학생활설계와비전2,1,오수현,월4(제2공학관(아산) 508),주간,대면수업,
159,인성교양,,,0APR1139,S2,1,대학생활설계와비전2,1,이호웅,월4(제2공학관(아산) 403),주간,대면수업,
160,인성교양,,,0APR1139,S3,1,대학생활설계와비전2,1,임헌국,월4(제2공학관(아산) 417),주간,대면수업,
